tenure_id,season,team,start_week,end_week,head_coach,head_coach_started_midseason,offensive_play_caller,caller_role,head_coach_is_play_caller,verification_status,source_url,source_title,source_publisher,source_date,date_verified,verification_notes
2018_ARI_1_7_Steve Wilks,2018,ARI,1,7,Steve Wilks,false,Mike McCoy,offensive coordinator,false,verified,https://www.nfl.com/news/cardinals-fire-offensive-coordinator-mike-mccoy-0ap3000000975904,Cardinals fire offensive coordinator Mike McCoy,NFL,2018-10-19,2026-07-20,McCoy called the first seven games.
2018_ARI_8_17_Steve Wilks,2018,ARI,8,17,Steve Wilks,false,Byron Leftwich,offensive coordinator/quarterbacks coach,false,verified,https://www.nfl.com/news/cardinals-fire-offensive-coordinator-mike-mccoy-0ap3000000975904,Cardinals fire offensive coordinator Mike McCoy,NFL,2018-10-19,2026-07-20,Leftwich became caller beginning Week 8.
2018_ATL_1_17_Dan Quinn,2018,ATL,1,17,Dan Quinn,false,Steve Sarkisian,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_BAL_1_18_John Harbaugh,2018,BAL,1,18,John Harbaugh,false,Marty Mornhinweg,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_BUF_1_17_Sean McDermott,2018,BUF,1,17,Sean McDermott,false,Brian Daboll,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_CAR_1_17_Ron Rivera,2018,CAR,1,17,Ron Rivera,false,Norv Turner,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_CHI_1_18_Matt Nagy,2018,CHI,1,18,Matt Nagy,false,Matt Nagy,head coach,true,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_CIN_1_17_Marvin Lewis,2018,CIN,1,17,Marvin Lewis,false,Bill Lazor,offensive coordinator,false,verified,https://www.pro-football-reference.com/years/2018/coaches.htm,2018 NFL Coaches,Pro Football Reference,2018,2026-07-20,Caller verified against the 2018 coaching structure and contemporaneous reporting.
2018_CLE_1_8_Hue Jackson,2018,CLE,1,8,Hue Jackson,false,Todd Haley,offensive coordinator,false,verified,https://www.clevelandbrowns.com/news/freddie-kitchens-named-browns-head-coach,Freddie Kitchens named Browns head coach,Cleveland Browns,2019-01-12,2026-07-20,Haley called through Week 8 before his dismissal.
2018_CLE_9_17_Gregg Williams,2018,CLE,9,17,Gregg Williams,true,Freddie Kitchens,offensive coordinator/running backs coach,false,verified,https://www.clevelandbrowns.com/news/freddie-kitchens-named-browns-head-coach,Freddie Kitchens named Browns head coach,Cleveland Browns,2019-01-12,2026-07-20,Kitchens took over following the Week 9 coaching changes.
