model,probability_bin,plays,mean_probability,actual_pass_rate,calibration_error,absolute_calibration_error
logistic_regression,0.0-0.1,12,0.0897,0.3333,0.2436,0.2436
logistic_regression,0.1-0.2,196,0.1681,0.1786,0.0105,0.0105
logistic_regression,0.2-0.3,1010,0.2618,0.2396,-0.0222,0.0222
logistic_regression,0.3-0.4,2917,0.3598,0.3404,-0.0194,0.0194
logistic_regression,0.4-0.5,7254,0.4518,0.4353,-0.0165,0.0165
logistic_regression,0.5-0.6,7006,0.5479,0.5378,-0.0101,0.0101
logistic_regression,0.6-0.7,5339,0.6485,0.6539,0.0053,0.0053
logistic_regression,0.7-0.8,4331,0.7476,0.7645,0.0169,0.0169
logistic_regression,0.8-0.9,3915,0.8487,0.8909,0.0422,0.0422
logistic_regression,0.9-1.0,2809,0.9433,0.9035,-0.0398,0.0398
hist_gradient_boosting,0.0-0.1,352,0.0659,0.0312,-0.0346,0.0346
hist_gradient_boosting,0.1-0.2,999,0.1601,0.1502,-0.0099,0.0099
hist_gradient_boosting,0.2-0.3,2318,0.2506,0.242,-0.0085,0.0085
hist_gradient_boosting,0.3-0.4,3121,0.3562,0.3557,-0.0006,0.0006
hist_gradient_boosting,0.4-0.5,7023,0.4563,0.4549,-0.0014,0.0014
hist_gradient_boosting,0.5-0.6,4420,0.5431,0.5163,-0.0268,0.0268
hist_gradient_boosting,0.6-0.7,3353,0.6503,0.6403,-0.01,0.01
hist_gradient_boosting,0.7-0.8,3445,0.7484,0.7463,-0.0021,0.0021
hist_gradient_boosting,0.8-0.9,3270,0.8528,0.8563,0.0034,0.0034
hist_gradient_boosting,0.9-1.0,6488,0.9537,0.9558,0.002,0.002
nflverse_xpass,0.0-0.1,373,0.0644,0.0483,-0.0161,0.0161
nflverse_xpass,0.1-0.2,795,0.1591,0.1321,-0.0271,0.0271
nflverse_xpass,0.2-0.3,1799,0.2536,0.2357,-0.0179,0.0179
nflverse_xpass,0.3-0.4,2680,0.3561,0.3243,-0.0319,0.0319
nflverse_xpass,0.4-0.5,7578,0.4588,0.44,-0.0188,0.0188
nflverse_xpass,0.5-0.6,4193,0.5397,0.5094,-0.0303,0.0303
nflverse_xpass,0.6-0.7,3586,0.6493,0.6263,-0.023,0.023
nflverse_xpass,0.7-0.8,3431,0.7476,0.7167,-0.0309,0.0309
nflverse_xpass,0.8-0.9,3222,0.8512,0.8253,-0.0259,0.0259
nflverse_xpass,0.9-1.0,7132,0.9583,0.9504,-0.0079,0.0079
