group_variable,group_value,model,plays,accuracy,log_loss,brier_score,actual_pass_rate,expected_pass_rate,mean_pass_oe,roc_auc
down,1.0,logistic_regression,15266,0.6009,0.6568,0.2326,0.4952,0.5058,-0.0106,0.6442
down,1.0,hist_gradient_boosting,15266,0.629,0.611,0.2142,0.4952,0.5086,-0.0134,0.6957
down,1.0,nflverse_xpass,15266,0.63,0.6142,0.2154,0.4952,0.5239,-0.0287,0.6954
down,2.0,logistic_regression,11579,0.6924,0.593,0.2023,0.6249,0.6141,0.0109,0.7189
down,2.0,hist_gradient_boosting,11579,0.7142,0.5523,0.1871,0.6249,0.6159,0.009,0.7634
down,2.0,nflverse_xpass,11579,0.7098,0.5559,0.189,0.6249,0.6305,-0.0056,0.7581
down,3.0,logistic_regression,7132,0.8069,0.4472,0.1361,0.8002,0.8107,-0.0105,0.7588
down,3.0,hist_gradient_boosting,7132,0.8709,0.3156,0.0959,0.8002,0.8116,-0.0114,0.8876
down,3.0,nflverse_xpass,7132,0.8703,0.3262,0.099,0.8002,0.8346,-0.0344,0.8829
down,4.0,logistic_regression,812,0.7475,0.5053,0.1689,0.6466,0.644,0.0026,0.8343
down,4.0,hist_gradient_boosting,812,0.8658,0.3318,0.1032,0.6466,0.6544,-0.0079,0.9188
down,4.0,nflverse_xpass,812,0.8732,0.3265,0.0995,0.6466,0.6405,0.006,0.9225
