season,head_coach,posteam,plays,games,actual_pass_rate,expected_pass_rate,model_pass_oe,nflverse_expected_pass_rate,nflverse_pass_oe,mean_epa,success_rate,mean_yards_gained,meets_minimum_sample,actual_pass_rate_pct,expected_pass_rate_pct,model_pass_oe_pct,nflverse_pass_oe_pct,success_rate_pct,bootstrap_games,bootstrap_plays,observed_pass_oe,bootstrap_standard_error,ci_95_lower,ci_95_upper,probability_pass_heavy,probability_run_heavy,observed_pass_oe_pct,bootstrap_standard_error_pct,ci_95_lower_pct,ci_95_upper_pct,ci_excludes_zero,tendency_label
2018,Joe Philbin,GB,259,4,0.7606177606177607,0.6785112101490981,0.08210655046866247,0.676370989027861,8.424677158989962,0.03684264100490309,0.43243243243243246,5.173745173745174,false,76.06,67.85,8.21,842.47,43.24,4,259,0.082107,0.016004,0.049168,0.111099,1.0,0.0,8.21,1.6,4.92,11.11,true,pass-heavy
2018,Mike Tomlin,PIT,1038,16,0.6946050096339114,0.6240457955849353,0.07055921404897607,0.608396982508559,8.620802712535237,0.10276162203276286,0.4720616570327553,6.22543352601156,true,69.46,62.4,7.06,862.08,47.21,16,1038,0.070559,0.017587,0.036174,0.103664,1.0,0.0,7.06,1.76,3.62,10.37,true,pass-heavy
2018,Mike McCarthy,GB,757,12,0.6988110964332893,0.6487497687528919,0.050061327680397366,0.6386515529016759,6.0159543531613435,0.05263478783804045,0.4610303830911493,6.038309114927345,true,69.88,64.87,5.01,601.6,46.1,12,757,0.050061,0.009996,0.031405,0.07034,1.0,0.0,5.01,1.0,3.14,7.03,true,pass-heavy
2018,Frank Reich,IND,1159,18,0.6548748921484038,0.6066305309815249,0.04824436116687888,0.6221341818339666,3.2740710314437167,0.06524508921914395,0.4797238999137187,5.947368421052632,true,65.49,60.66,4.82,327.41,47.97,18,1159,0.048244,0.01805,0.01164,0.08271,0.9945,0.0055,4.82,1.8,1.16,8.27,true,pass-heavy
2018,Mike Zimmer,MIN,985,16,0.6700507614213198,0.6282551372561106,0.04179562416520912,0.6436300533053082,2.6420708116011573,-0.06683806936518942,0.433502538071066,5.619289340101523,true,67.01,62.83,4.18,264.21,43.35,16,985,0.041796,0.019786,0.002127,0.078513,0.983,0.017,4.18,1.98,0.21,7.85,true,pass-heavy
2018,Andy Reid,KC,1104,18,0.6503623188405797,0.6100791886238808,0.040283130216698895,0.5668262287154389,8.353609012514083,0.22822944772180176,0.49094202898550726,6.815217391304348,true,65.04,61.01,4.03,835.36,49.09,18,1104,0.040283,0.010101,0.021213,0.06085,1.0,0.0,4.03,1.01,2.12,6.08,true,pass-heavy
2018,Doug Pederson,PHI,1127,18,0.6406388642413487,0.6004930956808276,0.04014576856052103,0.6136604395447945,2.6978424696554204,0.028030342042235885,0.453416149068323,5.68589174800355,true,64.06,60.05,4.01,269.78,45.34,18,1127,0.040146,0.012809,0.013659,0.064849,0.9985,0.0015,4.01,1.28,1.37,6.48,true,pass-heavy
2018,Dirk Koetter,TB,1039,16,0.6948989412897016,0.6604544668063456,0.034444474483356045,0.6456309085724385,4.926803271726304,0.04990837299190905,0.45139557266602504,6.395572666025024,true,69.49,66.05,3.44,492.68,45.14,16,1039,0.034444,0.013777,0.007475,0.063426,0.9945,0.0055,3.44,1.38,0.75,6.34,true,pass-heavy
2018,Dan Quinn,ATL,998,16,0.6763527054108216,0.6460056005240868,0.03034710488673473,0.6326193328357054,4.37333725751163,0.08217101663285481,0.4649298597194389,6.24248496993988,true,67.64,64.6,3.03,437.33,46.49,16,998,0.030347,0.011226,0.008212,0.051753,0.9985,0.0015,3.03,1.12,0.82,5.18,true,pass-heavy
2018,Doug Marrone,JAX,997,16,0.6449348044132397,0.6148807114753415,0.030054092937898225,0.6426168541193248,0.23179502939149632,-0.11460057014426124,0.4082246740220662,4.852557673019057,true,64.49,61.49,3.01,23.18,40.82,16,997,0.030054,0.028317,-0.029605,0.082155,0.858,0.142,3.01,2.83,-2.96,8.22,false,uncertain
2018,Gregg Williams,CLE,448,8,0.6183035714285714,0.5932980562916741,0.02500551513689736,0.597060320691006,2.124325073756544,0.12920479795339465,0.484375,7.049107142857143,false,61.83,59.33,2.5,212.43,48.44,8,448,0.025006,0.024581,-0.019543,0.074359,0.8355,0.1645,2.5,2.46,-1.95,7.44,false,uncertain
2018,Matt Nagy,CHI,1052,17,0.596958174904943,0.575820659948873,0.02113751495606995,0.5867051031465285,1.0253071758414516,0.03823177658291515,0.4543726235741445,5.585551330798479,true,59.7,57.58,2.11,102.53,45.44,17,1052,0.021138,0.01602,-0.009913,0.054088,0.907,0.093,2.11,1.6,-0.99,5.41,false,uncertain
2018,Ron Rivera,CAR,992,16,0.6270161290322581,0.6117457669426223,0.015270362089635779,0.6149914407344055,1.2024688297852633,0.056873440220854554,0.4788306451612903,6.036290322580645,true,62.7,61.17,1.53,120.25,47.88,16,992,0.01527,0.017411,-0.019582,0.047721,0.8145,0.1855,1.53,1.74,-1.96,4.77,false,uncertain
2018,Bill O'Brien,HOU,1089,17,0.6216712580348944,0.6106316426732696,0.011039615361624778,0.6235458371156777,-0.18745790807833027,0.015541189649637376,0.43709825528007346,5.632690541781451,true,62.17,61.06,1.1,-18.75,43.71,17,1089,0.01104,0.014145,-0.01638,0.039848,0.7855,0.2145,1.1,1.41,-1.64,3.98,false,uncertain
2018,Jason Garrett,DAL,1126,18,0.6030195381882771,0.5971997374991762,0.005819800689100927,0.6234100225181394,-2.039048432986224,0.02458263701791642,0.436056838365897,5.5079928952042625,true,60.3,59.72,0.58,-203.9,43.61,18,1126,0.00582,0.010331,-0.013198,0.027312,0.6785,0.3215,0.58,1.03,-1.32,2.73,false,uncertain
2018,Marvin Lewis,CIN,927,16,0.6461704422869471,0.6442108531144913,0.0019595891724558,0.6468905543440304,-0.07201120570832471,0.00008887050572296354,0.4250269687162891,5.370010787486516,true,64.62,64.42,0.2,-7.2,42.5,16,927,0.00196,0.017638,-0.033516,0.03602,0.5455,0.4545,0.2,1.76,-3.35,3.6,false,uncertain
2018,Anthony Lynn,LAC,1056,18,0.6060606060606061,0.6057920205708961,0.0002685854897099901,0.5999612813766086,0.6099324683997441,0.12273368895350655,0.4621212121212121,6.207386363636363,true,60.61,60.58,0.03,60.99,46.21,18,1056,0.000269,0.00813,-0.015072,0.016683,0.51,0.49,0.03,0.81,-1.51,1.67,false,uncertain
2018,Jay Gruden,WAS,954,16,0.6194968553459119,0.6203727747921826,-0.000875919446270608,0.6397158035879615,-2.0218948242049546,-0.07063061553389,0.42348008385744235,5.034591194968553,true,61.95,62.04,-0.09,-202.19,42.35,16,954,-0.000876,0.01395,-0.028651,0.026732,0.449,0.551,-0.09,1.4,-2.87,2.67,false,uncertain
2018,Sean McDermott,BUF,994,16,0.596579476861167,0.6007250209544239,-0.004145544093256954,0.6388784706783697,-4.229899381720264,-0.14151951318664982,0.3782696177062374,4.785714285714286,true,59.66,60.07,-0.41,-422.99,37.83,16,994,-0.004146,0.018644,-0.042088,0.030867,0.428,0.572,-0.41,1.86,-4.21,3.09,false,uncertain
