season,season_type,head_coach,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2018,POST,Andy Reid,KC,2,1,1,0,62,50,12,31.0,25.0,6.0,0.5
2018,POST,Anthony Lynn,LAC,2,1,1,0,51,58,-7,25.5,29.0,-3.5,0.5
2018,POST,Bill Belichick,NE,3,3,0,0,91,62,29,30.33,20.67,9.67,1.0
2018,POST,Bill O'Brien,HOU,1,0,1,0,7,21,-14,7.0,21.0,-14.0,0.0
2018,POST,Doug Pederson,PHI,2,1,1,0,30,35,-5,15.0,17.5,-2.5,0.5
2018,POST,Frank Reich,IND,2,1,1,0,34,38,-4,17.0,19.0,-2.0,0.5
2018,POST,Jason Garrett,DAL,2,1,1,0,46,52,-6,23.0,26.0,-3.0,0.5
2018,POST,John Harbaugh,BAL,1,0,1,0,17,23,-6,17.0,23.0,-6.0,0.0
2018,POST,Matt Nagy,CHI,1,0,1,0,15,16,-1,15.0,16.0,-1.0,0.0
2018,POST,Pete Carroll,SEA,1,0,1,0,22,24,-2,22.0,24.0,-2.0,0.0
2018,POST,Sean McVay,LA,3,2,1,0,59,58,1,19.67,19.33,0.33,0.667
2018,POST,Sean Payton,NO,2,1,1,0,43,40,3,21.5,20.0,1.5,0.5
2018,REG,Adam Gase,MIA,16,7,9,0,319,433,-114,19.94,27.06,-7.12,0.438
2018,REG,Andy Reid,KC,16,12,4,0,565,421,144,35.31,26.31,9.0,0.75
2018,REG,Anthony Lynn,LAC,16,12,4,0,428,329,99,26.75,20.56,6.19,0.75
2018,REG,Bill Belichick,NE,16,11,5,0,436,325,111,27.25,20.31,6.94,0.688
2018,REG,Bill O'Brien,HOU,16,11,5,0,402,316,86,25.12,19.75,5.38,0.688
2018,REG,Dan Quinn,ATL,16,7,9,0,414,423,-9,25.88,26.44,-0.56,0.438
2018,REG,Dirk Koetter,TB,16,5,11,0,396,464,-68,24.75,29.0,-4.25,0.312
2018,REG,Doug Marrone,JAX,16,5,11,0,245,316,-71,15.31,19.75,-4.44,0.312
2018,REG,Doug Pederson,PHI,16,9,7,0,367,348,19,22.94,21.75,1.19,0.562
2018,REG,Frank Reich,IND,16,10,6,0,433,344,89,27.06,21.5,5.56,0.625
2018,REG,Gregg Williams,CLE,8,5,3,0,190,182,8,23.75,22.75,1.0,0.625
2018,REG,Hue Jackson,CLE,8,2,5,1,169,210,-41,21.12,26.25,-5.12,0.312
2018,REG,Jason Garrett,DAL,16,10,6,0,339,324,15,21.19,20.25,0.94,0.625
2018,REG,Jay Gruden,WAS,16,7,9,0,281,359,-78,17.56,22.44,-4.88,0.438
2018,REG,Joe Philbin,GB,4,2,2,0,95,113,-18,23.75,28.25,-4.5,0.5
2018,REG,John Harbaugh,BAL,16,10,6,0,389,287,102,24.31,17.94,6.38,0.625
2018,REG,Jon Gruden,LV,16,4,12,0,290,467,-177,18.12,29.19,-11.06,0.25
2018,REG,Kyle Shanahan,SF,16,4,12,0,342,435,-93,21.38,27.19,-5.81,0.25
2018,REG,Marvin Lewis,CIN,16,6,10,0,368,455,-87,23.0,28.44,-5.44,0.375
2018,REG,Matt Nagy,CHI,16,12,4,0,421,283,138,26.31,17.69,8.62,0.75
2018,REG,Matt Patricia,DET,16,6,10,0,324,360,-36,20.25,22.5,-2.25,0.375
2018,REG,Mike McCarthy,GB,12,4,7,1,281,287,-6,23.42,23.92,-0.5,0.375
2018,REG,Mike Tomlin,PIT,16,9,6,1,428,360,68,26.75,22.5,4.25,0.594
2018,REG,Mike Vrabel,TEN,16,9,7,0,310,303,7,19.38,18.94,0.44,0.562
2018,REG,Mike Zimmer,MIN,16,8,7,1,360,341,19,22.5,21.31,1.19,0.531
2018,REG,Pat Shurmur,NYG,16,5,11,0,369,412,-43,23.06,25.75,-2.69,0.312
2018,REG,Pete Carroll,SEA,16,10,6,0,428,347,81,26.75,21.69,5.06,0.625
2018,REG,Ron Rivera,CAR,16,7,9,0,376,382,-6,23.5,23.88,-0.38,0.438
2018,REG,Sean McDermott,BUF,16,6,10,0,269,374,-105,16.81,23.38,-6.56,0.375
2018,REG,Sean McVay,LA,16,13,3,0,527,384,143,32.94,24.0,8.94,0.812
2018,REG,Sean Payton,NO,16,13,3,0,504,353,151,31.5,22.06,9.44,0.812
