season,model,plays,accuracy,roc_auc,log_loss,brier_score,actual_pass_rate,expected_pass_rate,mean_pass_oe
2018,cross_fitted_locked_model,33054,0.7113,0.7909,0.5216,0.1778,0.6211,0.6208,0.0003
2018,nflverse_xpass,33054,0.7198,0.8003,0.5109,0.174,0.6211,0.6243,-0.0032
2019,cross_fitted_locked_model,33276,0.7219,0.8016,0.5122,0.1739,0.6202,0.6166,0.0036
2019,nflverse_xpass,33276,0.728,0.8104,0.5013,0.1701,0.6202,0.6276,-0.0074
2020,cross_fitted_locked_model,34005,0.7089,0.7879,0.5271,0.1797,0.6171,0.6205,-0.0035
2020,nflverse_xpass,34005,0.7087,0.7866,0.5285,0.1802,0.6171,0.6204,-0.0034
2021,cross_fitted_locked_model,35500,0.7121,0.7944,0.5212,0.1771,0.6154,0.6174,-0.002
2021,nflverse_xpass,35500,0.7112,0.792,0.5237,0.1781,0.6154,0.6236,-0.0083
2022,cross_fitted_locked_model,35193,0.7126,0.7926,0.5271,0.1792,0.604,0.6096,-0.0056
2022,nflverse_xpass,35193,0.708,0.7876,0.5339,0.1817,0.604,0.6251,-0.0211
2023,cross_fitted_locked_model,35378,0.7098,0.791,0.525,0.1788,0.6145,0.5993,0.0152
2023,nflverse_xpass,35378,0.7072,0.7884,0.5271,0.1798,0.6145,0.6269,-0.0125
2024,cross_fitted_locked_model,34789,0.7125,0.7946,0.5244,0.1783,0.6044,0.6099,-0.0054
2024,nflverse_xpass,34789,0.7115,0.7915,0.529,0.18,0.6044,0.6258,-0.0214
2025,final_locked_model,34415,0.7114,0.793,0.5265,0.1791,0.6041,0.6098,-0.0057
2025,nflverse_xpass,34415,0.7108,0.7875,0.5342,0.1821,0.6041,0.6241,-0.0201
