season,offensive_play_caller,posteam,plays,games,head_coach_count,actual_pass_rate_pct,expected_pass_rate_pct,model_pass_oe_pct,nflverse_pass_oe_pct,mean_epa,success_rate_pct,mean_yards_gained,bootstrap_games,bootstrap_plays,observed_pass_oe,bootstrap_standard_error,ci_95_lower,ci_95_upper,probability_pass_heavy,probability_run_heavy,observed_pass_oe_pct,bootstrap_standard_error_pct,ci_95_lower_pct,ci_95_upper_pct,ci_excludes_zero,tendency_label,meets_minimum_sample
2018,Joe Philbin,GB,259,4,1,76.06,67.85,8.21,842.47,0.0368,43.24,5.17,4,259,0.082107,0.015932,0.049168,0.110988,1.0,0.0,8.21,1.59,4.92,11.1,true,pass-heavy,false
2018,Dirk Koetter,TB,66,1,1,74.24,66.57,7.67,779.22,-0.0776,50.0,7.59,1,66,0.076703,0.0,0.076703,0.076703,1.0,0.0,7.67,0.0,7.67,7.67,true,pass-heavy,false
2018,Randy Fichtner,PIT,1038,16,1,69.46,62.4,7.06,862.08,0.1028,47.21,6.23,16,1038,0.070559,0.017707,0.035371,0.104569,1.0,0.0,7.06,1.77,3.54,10.46,true,pass-heavy,true
2018,John DeFilippo,MIN,814,13,1,69.78,63.19,6.59,513.08,-0.0628,43.98,5.66,13,814,0.065923,0.016461,0.035584,0.099435,1.0,0.0,6.59,1.65,3.56,9.94,true,pass-heavy,true
2018,Mike McCarthy,GB,757,12,1,69.88,64.87,5.01,601.6,0.0526,46.1,6.04,12,757,0.050061,0.009732,0.03173,0.069848,1.0,0.0,5.01,0.97,3.17,6.98,true,pass-heavy,true
2018,Frank Reich,IND,1159,18,1,65.49,60.66,4.82,327.41,0.0652,47.97,5.95,18,1159,0.048244,0.017332,0.012446,0.080962,0.995,0.005,4.82,1.73,1.24,8.1,true,pass-heavy,true
2018,Scott Milanovich,JAX,276,5,1,63.41,58.64,4.77,58.95,-0.244,36.23,3.71,5,276,0.047704,0.036934,-0.015156,0.122907,0.878,0.122,4.77,3.69,-1.52,12.29,false,uncertain,false
2018,Andy Reid,KC,1104,18,1,65.04,61.01,4.03,835.36,0.2282,49.09,6.82,18,1104,0.040283,0.010101,0.021213,0.06085,1.0,0.0,4.03,1.01,2.12,6.08,true,pass-heavy,true
2018,Doug Pederson,PHI,1127,18,1,64.06,60.05,4.01,269.78,0.028,45.34,5.69,18,1127,0.040146,0.012939,0.014727,0.064776,0.9975,0.0025,4.01,1.29,1.47,6.48,true,pass-heavy,true
2018,Todd Monken,TB,973,15,1,69.17,66.01,3.16,473.24,0.0586,44.81,6.31,15,973,0.031578,0.014314,0.004491,0.058931,0.9885,0.0115,3.16,1.43,0.45,5.89,true,pass-heavy,true
2018,Steve Sarkisian,ATL,998,16,1,67.64,64.6,3.03,437.33,0.0822,46.49,6.24,16,998,0.030347,0.011269,0.007947,0.05236,0.996,0.004,3.03,1.13,0.79,5.24,true,pass-heavy,true
2018,Freddie Kitchens,CLE,448,8,1,61.83,59.33,2.5,212.43,0.1292,48.44,7.05,8,448,0.025006,0.025089,-0.020041,0.078449,0.8415,0.1585,2.5,2.51,-2.0,7.84,false,uncertain,false
2018,Nathaniel Hackett,JAX,721,11,1,64.91,62.58,2.33,9.49,-0.0651,42.58,5.29,11,721,0.023298,0.03576,-0.049542,0.089336,0.7455,0.2545,2.33,3.58,-4.95,8.93,false,uncertain,true
2018,Matt Nagy,CHI,1052,17,1,59.7,57.58,2.11,102.53,0.0382,45.44,5.59,17,1052,0.021138,0.016471,-0.011638,0.053249,0.907,0.093,2.11,1.65,-1.16,5.32,false,uncertain,true
2018,Norv Turner,CAR,992,16,1,62.7,61.17,1.53,120.25,0.0569,47.88,6.04,16,992,0.01527,0.017454,-0.017464,0.048937,0.81,0.19,1.53,1.75,-1.75,4.89,false,uncertain,true
2018,Bill O'Brien,HOU,1089,17,1,62.17,61.06,1.1,-18.75,0.0155,43.71,5.63,17,1089,0.01104,0.013812,-0.016714,0.037189,0.7835,0.2165,1.1,1.38,-1.67,3.72,false,uncertain,true
2018,Scott Linehan,DAL,1126,18,1,60.3,59.72,0.58,-203.9,0.0246,43.61,5.51,18,1126,0.00582,0.010196,-0.012418,0.026813,0.6985,0.3015,0.58,1.02,-1.24,2.68,false,uncertain,true
2018,Bill Lazor,CIN,927,16,1,64.62,64.42,0.2,-7.2,0.0001,42.5,5.37,16,927,0.00196,0.017348,-0.032678,0.034969,0.537,0.463,0.2,1.73,-3.27,3.5,false,uncertain,true
2018,Ken Whisenhunt,LAC,1056,18,1,60.61,60.58,0.03,60.99,0.1227,46.21,6.21,18,1056,0.000269,0.008121,-0.015692,0.016078,0.5215,0.4785,0.03,0.81,-1.57,1.61,false,uncertain,true
2018,Jay Gruden,WAS,954,16,1,61.95,62.04,-0.09,-202.19,-0.0706,42.35,5.03,16,954,-0.000876,0.014009,-0.028627,0.027141,0.4625,0.5375,-0.09,1.4,-2.86,2.71,false,uncertain,true
2018,Brian Daboll,BUF,994,16,1,59.66,60.07,-0.41,-422.99,-0.1415,37.83,4.79,16,994,-0.004146,0.018497,-0.042649,0.028897,0.436,0.564,-0.41,1.85,-4.26,2.89,false,uncertain,true
2018,Pat Shurmur,NYG,978,16,1,64.72,65.43,-0.7,-110.96,0.0177,39.98,5.83,16,978,-0.007045,0.011668,-0.030655,0.014357,0.282,0.718,-0.7,1.17,-3.07,1.44,false,uncertain,true
2018,Mike McCoy,ARI,361,7,1,63.71,64.53,-0.82,-373.14,-0.3194,35.46,4.31,7,361,-0.008205,0.013742,-0.037095,0.015618,0.2995,0.7005,-0.82,1.37,-3.71,1.56,false,uncertain,false
2018,Jon Gruden,LV,974,16,1,62.53,63.53,-1.0,-56.62,-0.0522,45.17,5.53,16,974,-0.009993,0.010595,-0.030377,0.012192,0.165,0.835,-1.0,1.06,-3.04,1.22,false,uncertain,true
2018,Todd Haley,CLE,556,8,1,64.21,65.26,-1.06,-156.38,-0.1213,37.23,4.93,8,556,-0.010557,0.00793,-0.025159,0.005627,0.0915,0.9085,-1.06,0.79,-2.52,0.56,false,uncertain,true
2018,Jim Bob Cooter,DET,1009,16,1,62.24,63.34,-1.1,-204.23,-0.0386,40.54,5.2,16,1009,-0.010987,0.012794,-0.035531,0.014636,0.18,0.82,-1.1,1.28,-3.55,1.46,false,uncertain,true
2018,Adam Gase,MIA,861,16,1,59.93,61.36,-1.43,-312.34,-0.0801,40.19,5.4,16,861,-0.014336,0.008517,-0.031638,0.001383,0.0345,0.9655,-1.43,0.85,-3.16,0.14,false,uncertain,true
2018,Bill Musgrave,DEN,1000,16,1,63.1,65.16,-2.06,-246.12,-0.0043,43.7,5.61,16,1000,-0.020616,0.01553,-0.050165,0.009633,0.096,0.904,-2.06,1.55,-5.02,0.96,false,uncertain,true
2018,Sean McVay,LA,1232,19,1,59.42,61.59,-2.17,40.74,0.13,49.76,6.38,19,1232,-0.021718,0.017874,-0.055537,0.013624,0.1235,0.8765,-2.17,1.79,-5.55,1.36,false,uncertain,true
2018,Kyle Shanahan,SF,981,16,1,60.35,62.9,-2.55,-282.83,-0.0373,43.83,5.9,16,981,-0.025539,0.014229,-0.051416,0.003925,0.043,0.957,-2.55,1.42,-5.14,0.39,false,uncertain,true
