season,field,field_group,available_in_schema,applicable_plays,non_null_plays,null_plays,coverage_percentage,unique_count,unique_values_preview
2018,pass_length,pass_calls,true,20530,18387,2143,89.56,2,deep | short
2018,pass_location,pass_calls,true,20530,18387,2143,89.56,3,left | middle | right
2018,air_yards,pass_calls,true,20530,18387,2143,89.56,75,-1.0 | -10.0 | -11.0 | -12.0 | -13.0 | -14.0 | -15.0 | -2.0 | -3.0 | -4.0 | -5.0 | -6.0 | -7.0 | -8.0 | -9.0 | 0.0 | 1.0 | 10.0 | 11.0 | 12.0 | ...
2018,run_location,run_calls,true,12524,12514,10,99.92,3,left | middle | right
2018,run_gap,run_calls,true,12524,8731,3793,69.71,3,end | guard | tackle
2018,shotgun,all_calls,true,33054,33054,0,100.0,2,0.0 | 1.0
2018,no_huddle,all_calls,true,33054,33054,0,100.0,2,0.0 | 1.0
2018,play_action,all_calls,false,33054,0,33054,0.0,0,""
2019,pass_length,pass_calls,true,20639,18461,2178,89.45,2,deep | short
2019,pass_location,pass_calls,true,20639,18461,2178,89.45,3,left | middle | right
2019,air_yards,pass_calls,true,20639,18461,2178,89.45,72,-1.0 | -10.0 | -11.0 | -2.0 | -3.0 | -4.0 | -5.0 | -6.0 | -7.0 | -8.0 | -9.0 | 0.0 | 1.0 | 10.0 | 11.0 | 12.0 | 13.0 | 14.0 | 15.0 | 16.0 | ...
2019,run_location,run_calls,true,12637,12631,6,99.95,3,left | middle | right
2019,run_gap,run_calls,true,12637,9193,3444,72.75,3,end | guard | tackle
2019,shotgun,all_calls,true,33276,33276,0,100.0,2,0.0 | 1.0
2019,no_huddle,all_calls,true,33276,33276,0,100.0,2,0.0 | 1.0
2019,play_action,all_calls,false,33276,0,33276,0.0,0,""
2020,pass_length,pass_calls,true,20983,18887,2096,90.01,2,deep | short
2020,pass_location,pass_calls,true,20983,18887,2096,90.01,3,left | middle | right
2020,air_yards,pass_calls,true,20983,18890,2093,90.03,72,-1.0 | -10.0 | -11.0 | -13.0 | -2.0 | -3.0 | -4.0 | -5.0 | -6.0 | -7.0 | -8.0 | -9.0 | 0.0 | 1.0 | 10.0 | 11.0 | 12.0 | 13.0 | 14.0 | 15.0 | ...
2020,run_location,run_calls,true,13022,13010,12,99.91,3,left | middle | right
2020,run_gap,run_calls,true,13022,9664,3358,74.21,3,end | guard | tackle
2020,shotgun,all_calls,true,34005,34005,0,100.0,2,0.0 | 1.0
2020,no_huddle,all_calls,true,34005,34005,0,100.0,2,0.0 | 1.0
2020,play_action,all_calls,false,34005,0,34005,0.0,0,""
2021,pass_length,pass_calls,true,21845,19576,2269,89.61,2,deep | short
2021,pass_location,pass_calls,true,21845,19576,2269,89.61,3,left | middle | right
2021,air_yards,pass_calls,true,21845,19578,2267,89.62,77,-1.0 | -10.0 | -11.0 | -12.0 | -13.0 | -14.0 | -15.0 | -19.0 | -2.0 | -3.0 | -4.0 | -5.0 | -6.0 | -7.0 | -8.0 | -9.0 | 0.0 | 1.0 | 10.0 | 11.0 | ...
2021,run_location,run_calls,true,13655,13651,4,99.97,3,left | middle | right
2021,run_gap,run_calls,true,13655,9977,3678,73.06,3,end | guard | tackle
2021,shotgun,all_calls,true,35500,35500,0,100.0,2,0.0 | 1.0
2021,no_huddle,all_calls,true,35500,35500,0,100.0,2,0.0 | 1.0
2021,play_action,all_calls,false,35500,0,35500,0.0,0,""
2022,pass_length,pass_calls,true,21257,18941,2316,89.1,2,deep | short
2022,pass_location,pass_calls,true,21257,18941,2316,89.1,3,left | middle | right
2022,air_yards,pass_calls,true,21257,18942,2315,89.11,78,-1.0 | -10.0 | -12.0 | -13.0 | -16.0 | -18.0 | -2.0 | -20.0 | -3.0 | -4.0 | -5.0 | -6.0 | -7.0 | -8.0 | -9.0 | 0.0 | 1.0 | 10.0 | 11.0 | 12.0 | ...
2022,run_location,run_calls,true,13936,13922,14,99.9,3,left | middle | right
2022,run_gap,run_calls,true,13936,10418,3518,74.76,3,end | guard | tackle
2022,shotgun,all_calls,true,35193,35193,0,100.0,2,0.0 | 1.0
2022,no_huddle,all_calls,true,35193,35193,0,100.0,2,0.0 | 1.0
2022,play_action,all_calls,false,35193,0,35193,0.0,0,""
2023,pass_length,pass_calls,true,21739,19183,2556,88.24,2,deep | short
2023,pass_location,pass_calls,true,21739,19183,2556,88.24,3,left | middle | right
2023,air_yards,pass_calls,true,21739,19183,2556,88.24,74,-1.0 | -10.0 | -11.0 | -12.0 | -13.0 | -2.0 | -3.0 | -4.0 | -5.0 | -6.0 | -7.0 | -8.0 | -9.0 | 0.0 | 1.0 | 10.0 | 11.0 | 12.0 | 13.0 | 14.0 | ...
2023,run_location,run_calls,true,13639,13626,13,99.9,3,left | middle | right
2023,run_gap,run_calls,true,13639,9986,3653,73.22,3,end | guard | tackle
2023,shotgun,all_calls,true,35378,35378,0,100.0,2,0.0 | 1.0
2023,no_huddle,all_calls,true,35378,35378,0,100.0,2,0.0 | 1.0
2023,play_action,all_calls,false,35378,0,35378,0.0,0,""
2024,pass_length,pass_calls,true,21028,18503,2525,87.99,2,deep | short
2024,pass_location,pass_calls,true,21028,18503,2525,87.99,3,left | middle | right
2024,air_yards,pass_calls,true,21028,18503,2525,87.99,75,-1.0 | -10.0 | -11.0 | -12.0 | -13.0 | -14.0 | -17.0 | -2.0 | -3.0 | -4.0 | -5.0 | -6.0 | -7.0 | -8.0 | -9.0 | 0.0 | 1.0 | 10.0 | 11.0 | 12.0 | ...
2024,run_location,run_calls,true,13761,13747,14,99.9,3,left | middle | right
2024,run_gap,run_calls,true,13761,10262,3499,74.57,3,end | guard | tackle
2024,shotgun,all_calls,true,34789,34789,0,100.0,2,0.0 | 1.0
2024,no_huddle,all_calls,true,34789,34789,0,100.0,2,0.0 | 1.0
2024,play_action,all_calls,false,34789,0,34789,0.0,0,""
2025,pass_length,pass_calls,true,20789,18288,2501,87.97,2,deep | short
2025,pass_location,pass_calls,true,20789,18288,2501,87.97,3,left | middle | right
2025,air_yards,pass_calls,true,20789,18288,2501,87.97,77,-1.0 | -10.0 | -11.0 | -12.0 | -13.0 | -16.0 | -19.0 | -2.0 | -3.0 | -4.0 | -5.0 | -6.0 | -7.0 | -8.0 | -9.0 | -90.0 | 0.0 | 1.0 | 10.0 | 11.0 | ...
2025,run_location,run_calls,true,13626,13619,7,99.95,3,left | middle | right
2025,run_gap,run_calls,true,13626,10008,3618,73.45,3,end | guard | tackle
2025,shotgun,all_calls,true,34415,34415,0,100.0,2,0.0 | 1.0
2025,no_huddle,all_calls,true,34415,34415,0,100.0,2,0.0 | 1.0
2025,play_action,all_calls,false,34415,0,34415,0.0,0,""
